,nearest_heath
728,1055.7707140246057
729,337.781084612108
730,11194.539695231795
731,9602.124047015795
732,2528.7278693090475
733,770.6149839380206
734,1670.4394223185411
735,794.1162511281751
736,2732.5765108691085
737,725.1199506349863
738,7777.475483294677
739,8287.476253652507
740,8841.28116982146
741,2488.272105595745
742,5311.87350296978
743,6214.214693071376
744,6638.316221065716
745,7076.353740700098
746,6403.577845982703
747,2692.8578698271895
748,6149.619694941941
749,4864.304047265426
750,3105.484626319214
751,2289.129538950242
752,2785.8294714719773
753,7202.803931925172
754,8139.9747135689995
755,4044.220877857498
756,4476.357169608541
757,1051.6830531812723
758,5428.274623951891
759,433.86329366274816
760,2696.462420775499
761,4633.444120817601
762,5434.608197582409
763,2013.1670832823338
764,8068.532043396132
765,7983.217551766239
766,6888.345217836684
767,7235.41334772501
768,1325.8776692790816
769,3182.429907434466
770,1325.8776692790816
771,2314.162382372648
772,9364.552680581952
773,7008.970438417291
774,5281.351019898113
775,3527.912909654555
776,3386.4461032213235
777,5261.711850608787
778,1663.289747352362
779,3288.05034412586
780,4331.793397974442
781,1855.88434888024
782,5341.161222635454
783,6131.717697678707
784,2240.136177089705
785,354.28721678909216
786,4403.967970715337
787,7567.251379219723
788,5356.52872640357
789,2046.6790064736106
790,8461.728975859633
791,4108.200225907468
792,1076.616689953027
793,1287.1749193904643
794,1452.914116193922
795,7522.4122745211225
796,6207.5064789267735
797,2819.155288666149
798,8408.126277092992
799,677.2978109633603
800,7157.166796048861
801,4659.2776767358
802,2196.5879659474103
803,955.0676884907014
804,4784.624453348394
805,2196.5879659474103
806,4037.451925043007
807,5707.88637120314
808,8458.782748406886
809,3252.908887410476
810,3511.279283106028
811,522.4438660816539
812,6433.230350105099
813,2289.728825111326
814,4997.841011928772
815,4164.452130663721
816,2367.1301760324077
817,6629.7870708735145
818,5590.419422344101
819,3236.0896578716715
820,7248.9534179761395
821,5077.350371837972
822,1625.8116058344106
823,7041.682694491694
824,1641.773489613924
825,2573.5972643581995
826,4498.504681177253
827,2573.5972643581995
828,3238.002338725256
829,5363.15350166613
830,5114.9684705256695
831,7172.515183799686
832,3221.3557244412455
833,1954.007282742654
834,2881.399253511096
835,7025.7955663140665
836,5436.489229114754
837,2373.3907044541547
838,4328.412095423369
839,7391.438668889217
840,4040.154734275937
841,2716.521665287966
842,5704.469183431524
843,2165.7473341780583
844,3060.692832780843
845,6552.252967633976
846,2245.153029302969
847,3281.596676808293
848,4605.117074872354
849,4101.839091674143
850,3464.718946628435
851,2164.6167938062745
852,6308.602520301095
853,4887.237824807523
854,5083.147690437707
855,1314.0162373867406
856,5567.946406045647
857,6315.380017649742
858,4245.959762327085
859,1778.369294112323
860,5555.373295119738
861,1735.7893299233717
862,3308.4770003777244
863,868.2419153569433
864,2227.4147093896563
865,2246.4645397329205
866,1276.2575080395839
867,2492.9553423909424
868,6490.396145239714
869,3172.768650002845
870,2515.8420952792185
871,2140.4782173409167
872,6138.796549142545
873,2090.802355283807
874,6940.807078802114
875,4729.10782089293
876,3434.748340061688
877,5235.379748301325
878,4212.64374364579
879,3060.215115016676
880,1336.1176228167399
881,2683.7020158751543
882,5964.491810749784
883,5123.409724378519
884,7606.2176956232115
885,2287.416365327381
886,2558.867208287099
887,4030.8486859330264
888,524.9014799592918
889,6482.103309156323
890,788.9744571878318
891,3919.1051729902356
892,605.9661163229141
893,3202.3740948958903
894,5783.46364219803
895,2427.594681243999
896,605.9661163229141
897,2609.084865234762
898,5425.129465100543
899,1386.3394971996593
900,3353.546758187039
901,7483.749563300885
902,3650.1705681962085
903,6442.1743526865175
904,523.8298738295819
905,4376.036603303909
906,2866.8409347724637
907,2169.271722366302
908,6499.58471329609
909,3121.045752164718
910,2277.2985929796455
911,3612.6781051244307
912,2184.901806215171
913,2692.0409457223473
914,6070.6131837119065
915,1561.2735669953997
916,2874.342796834522
917,2750.229265965379
918,2601.9126789308493
919,4568.665476451088
920,7616.254459181565
921,6493.973338756912
922,6722.483566715686
923,5033.2119303755135
924,1758.8045197830165
925,7468.527778155336
926,2711.2917648758666
927,4338.515411346208
928,7258.36535048012
929,4049.5117329792656
930,9365.50135737616
931,2734.114697706111
932,5210.574913367838
933,7669.293213124777
934,5208.849124335965
935,6286.498861362693
936,3500.793178613554
937,7150.319784327763
938,2283.096690647378
939,1219.1005670350219
940,126.98054364013241
941,5209.478330251289
942,7651.620632853742
943,2331.0273228482283
944,6070.405347369702
945,1918.7632025433575
946,4734.187947711163
947,1649.3784129943026
948,6047.374831342787
949,4786.420215758098
950,1676.6264147762097
951,7038.375910555769
952,525.6770298169961
953,3752.59675283965
954,1141.0729169649364
955,5128.580671792113
956,4531.712084703792
957,6530.54757192346
958,2476.0143320876464
959,4982.088153691767
960,7452.731338033754
961,2460.785272006999
962,7235.252534883893
963,5111.358432612303
964,7441.899681057645
965,7374.540915599406
966,2963.8850159135814
967,8219.967806208626
968,1288.608835306636
969,2782.8834778278224
970,6847.262956724852
971,3984.7057318951283
972,3476.434940067066
973,3622.7112188150654
974,5542.038265860188
975,3265.137986382264
976,5929.5424670716975
977,2989.9109828589576
978,4905.92262655724
979,5832.423872676657
980,7867.16764079648
981,8395.806024665671
